CalBP,SPD_TaphCorrected,MC_lo_2.5pct,MC_hi_97.5pct
7300,0.0,0.0026327240984232343,0.010665867271215861
7310,0.0,0.0028316809435914502,0.010804115562979659
7320,0.0,0.0038615086785994046,0.011453505882750107
7330,2.563978087590442e-06,0.004641444443682293,0.01125215789011425
7340,1.0919938539546825e-05,0.004542571180182124,0.010763837359719574
7350,1.0085267082029941e-05,0.004542121039100716,0.010781128187407858
7360,1.1219318645787304e-05,0.004451128226503415,0.010676406123601198
7370,3.602792796525648e-05,0.004063021885540786,0.010011280585192366
7380,1.0133593366319439e-05,0.0041946248221611864,0.010351897205889719
7390,2.866954592490681e-06,0.0039464532673328155,0.01016209089493672
7400,1.223767759924531e-06,0.00317970237414962,0.009091334626366153
7410,1.728025357007686e-06,0.002540322461976551,0.007704383912170272
7420,6.384951566819018e-06,0.002955050122715942,0.008685453324739903
7430,0.003491042315625585,0.003421498789522621,0.009016228386396286
7440,0.006478156956265649,0.004004968137723798,0.009709523955313975
7450,0.004456172737119714,0.003494534256444048,0.009046652364947397
7460,0.0038808769103684743,0.0032421164405553476,0.00867891714526303
7470,0.005223626548911371,0.003525509853628415,0.009052992667888967
7480,0.006778378339471468,0.0038797358579908034,0.009386715502586547
7490,0.007389210708115098,0.003980872905704436,0.009434817111090251
7500,0.007364194598088828,0.0039340255005730854,0.009435294706510269
7510,0.008206942275714344,0.003924411779879259,0.009308472091521936
7520,0.01027138155443813,0.0032498279579706484,0.008696603536343708
7530,0.010109548074767145,0.0032404487239950427,0.008730651144457334
7540,0.008406299122155084,0.003835056601988723,0.009229457972067092
7550,0.007775202122879295,0.0037604005498413366,0.009219804782930963
7560,0.008283506258435649,0.003659894028318243,0.009038997936694914
7570,0.010559080934805188,0.003087362376219386,0.008537061438814353
7580,0.013475887331222992,0.003140394629792619,0.00851228826657268
7590,0.013237613443472088,0.0032963591393302782,0.008881368964238828
7600,0.013241865945571654,0.0032629532093685475,0.008892043018358236
7610,0.013164882788950243,0.0033306603946349745,0.008986543957325484
7620,0.013940204465472788,0.0033615269809635323,0.008983596258054807
7630,0.014327782610810583,0.00331049745080481,0.008883131731164107
7640,0.013919392441142727,0.0033459768663171717,0.00892756165856395
7650,0.013668403454072596,0.0033319173279502683,0.009022606610403074
7660,0.014156862204878608,0.003312343334491674,0.008864944423801762
7670,0.015011177599049063,0.003153275984210066,0.008315373069533756
7680,0.01416950306079437,0.0031307760382729057,0.0077809948251062275
7690,0.012995863648656614,0.003365581950163209,0.007963223773239188
7700,0.012537280123602485,0.003551707816563711,0.00810672632173247
7710,0.01240984074687828,0.0036362319370630797,0.008164587577995866
7720,0.012391950934280018,0.0036471699145870376,0.008189989608004584
7730,0.012331672595089051,0.0036812409848243177,0.00820846288012325
7740,0.01218840374122179,0.0037945849445939757,0.008201242799968471
7750,0.011943601703531273,0.0038794972980748664,0.00829822030221063
7760,0.011835772563090794,0.003912399039441277,0.008271795375321897
7770,0.011937847811057457,0.0038809626585498166,0.008286640193092719
7780,0.011898756486340827,0.0038837831003928364,0.00829130761230202
7790,0.01135480841877623,0.003913840986098219,0.008218562250533041
7800,0.010020459376831187,0.003745327055917375,0.008149950093757689
7810,0.010591517226923995,0.0038323269478384527,0.008166212468518673
7820,0.011352431818588598,0.0038496696286104246,0.008168023224245374
7830,0.01082933254206171,0.0038389084128456173,0.00816204888425
7840,0.009396110744295812,0.003631832532536019,0.008057293612843085
7850,0.008254830501038498,0.0034721320568132184,0.007981332926699088
7860,0.00803417869072916,0.0034565033541847853,0.007927582324540336
7870,0.005920691822403243,0.003147578817087204,0.007797710241552154
7880,0.004490878657050157,0.0029042179379502203,0.007668216188654472
7890,0.004842070106603604,0.0029691932685105534,0.007709354605253645
7900,0.0076840026544488784,0.0033422377320915467,0.00784462490317114
7910,0.008772789758125857,0.0034021464369478525,0.007861823582691897
7920,0.007666888786448895,0.0032510782678974097,0.007751576785844656
7930,0.005230563698019741,0.002960278170888047,0.007606069364452775
7940,0.0044347691141226235,0.0026699948650128432,0.007587706071314062
7950,0.004933677976801181,0.0026242685147474343,0.007629574317224634
7960,0.005473154765378883,0.0026307079333767872,0.007645664499844634
7970,0.009039198016074813,0.0024371271009342556,0.007737828589328343
7980,0.013393041486117818,0.002383679446844881,0.007759726526857958
7990,0.013787429781569266,0.0023753438873463572,0.007762027735172892
8000,0.012555814817256384,0.002409709790443196,0.007718712618759073
8010,0.014477024014347634,0.00242242272421376,0.007571713776003101
8020,0.016061234505601946,0.0025496349257203483,0.0071259285052386635
8030,0.01019797533235014,0.003041613391746159,0.007148071482220899
8040,0.005405384064568151,0.0031752067263458115,0.007253740726365412
8050,0.0034066887522480487,0.0031100951975848007,0.007159118629586695
8060,0.002891515704586809,0.0030785232058037817,0.007023148521323054
8070,0.0030460492159155943,0.0030954621472427672,0.0070086974585862605
8080,0.0035633977727006026,0.0031304849132545096,0.00722484207524903
8090,0.004703111922893669,0.0031676747927673757,0.0073371809948095034
8100,0.006035766191546388,0.003135026756473681,0.007253607758917247
8110,0.0062427635683542084,0.0031316319772417564,0.007294218844828699
8120,0.005160714617728063,0.0031629103116784384,0.00738574994645221
8130,0.004820056093368234,0.0031712493972377073,0.007420406509599632
8140,0.005728742728190977,0.003124186885457297,0.007418860324499921
8150,0.00691276367859041,0.003055266906815527,0.007351707973024825
8160,0.006279040594928066,0.0030587652716908566,0.007337233207500768
8170,0.002887276540039116,0.003040686614566857,0.007160022246288807
8180,0.0008822729367654246,0.0027755694377803375,0.006423114233769777
8190,0.000979349252188018,0.002877217670955919,0.006565464819153171
