CalBP,SPD_Unnormalized,SPD_Normalized,MC_lo_2.5pct,MC_hi_97.5pct,MC_pval
7300,0.0,0.0,0.0026327240984232,0.0106658672712158,1.0
7310,0.0,0.0,0.0028316809435914,0.0108041155629796,1.0
7320,0.0,0.0,0.0038615086785994,0.0114535058827501,1.0
7330,2.563978087590442e-06,2.563978087590442e-06,0.0046414444436822,0.0112521578901142,1.0
7340,1.0919938539546824e-05,1.0919938539546824e-05,0.0045425711801821,0.0107638373597195,1.0
7350,1.008526708202994e-05,1.008526708202994e-05,0.0045421210391007,0.0107811281874078,1.0
7360,1.1219318645787304e-05,1.1219318645787304e-05,0.0044511282265034,0.0106764061236011,1.0
7370,3.602792796525648e-05,3.602792796525648e-05,0.0040630218855407,0.0100112805851923,1.0
7380,1.013359336631944e-05,1.013359336631944e-05,0.0041946248221611,0.0103518972058897,1.0
7390,2.866954592490681e-06,2.866954592490681e-06,0.0039464532673328,0.0101620908949367,1.0
7400,1.223767759924531e-06,1.223767759924531e-06,0.0031797023741496,0.0090913346263661,1.0
7410,1.728025357007686e-06,1.728025357007686e-06,0.0025403224619765,0.0077043839121702,1.0
7420,6.384951566819018e-06,6.384951566819018e-06,0.0029550501227159,0.0086854533247399,1.0
7430,0.0034910423156255,0.0034910423156255,0.0034214987895226,0.0090162283863962,0.0
7440,0.0064781569562656,0.0064781569562656,0.0040049681377237,0.0097095239553139,0.0
7450,0.0044561727371197,0.0044561727371197,0.003494534256444,0.0090466523649473,0.0
7460,0.0038808769103684,0.0038808769103684,0.0032421164405553,0.008678917145263,0.0
7470,0.0052236265489113,0.0052236265489113,0.0035255098536284,0.0090529926678889,0.0
7480,0.0067783783394714,0.0067783783394714,0.0038797358579908,0.0093867155025865,0.0
7490,0.007389210708115,0.007389210708115,0.0039808729057044,0.0094348171110902,0.0
7500,0.0073641945980888,0.0073641945980888,0.003934025500573,0.0094352947065102,0.0
7510,0.0082069422757143,0.0082069422757143,0.0039244117798792,0.0093084720915219,0.0
7520,0.0102713815544381,0.0102713815544381,0.0032498279579706,0.0086966035363437,0.0
7530,0.0101095480747671,0.0101095480747671,0.003240448723995,0.0087306511444573,0.0
7540,0.008406299122155,0.008406299122155,0.0038350566019887,0.009229457972067,0.0
7550,0.0077752021228792,0.0077752021228792,0.0037604005498413,0.0092198047829309,0.0
7560,0.0082835062584356,0.0082835062584356,0.0036598940283182,0.0090389979366949,0.0
7570,0.0105590809348051,0.0105590809348051,0.0030873623762193,0.0085370614388143,0.0
7580,0.0134758873312229,0.0134758873312229,0.0031403946297926,0.0085122882665726,0.0
7590,0.013237613443472,0.013237613443472,0.0032963591393302,0.0088813689642388,0.0
7600,0.0132418659455716,0.0132418659455716,0.0032629532093685,0.0088920430183582,0.0
7610,0.0131648827889502,0.0131648827889502,0.0033306603946349,0.0089865439573254,0.0
7620,0.0139402044654727,0.0139402044654727,0.0033615269809635,0.0089835962580548,0.0
7630,0.0143277826108105,0.0143277826108105,0.0033104974508048,0.0088831317311641,0.0
7640,0.0139193924411427,0.0139193924411427,0.0033459768663171,0.0089275616585639,0.0
7650,0.0136684034540725,0.0136684034540725,0.0033319173279502,0.009022606610403,0.0
7660,0.0141568622048786,0.0141568622048786,0.0033123433344916,0.0088649444238017,0.0
7670,0.015011177599049,0.015011177599049,0.00315327598421,0.0083153730695337,0.0
7680,0.0141695030607943,0.0141695030607943,0.0031307760382729,0.0077809948251062,0.0
7690,0.0129958636486566,0.0129958636486566,0.0033655819501632,0.0079632237732391,0.0
7700,0.0125372801236024,0.0125372801236024,0.0035517078165637,0.0081067263217324,0.0
7710,0.0124098407468782,0.0124098407468782,0.003636231937063,0.0081645875779958,0.0
7720,0.01239195093428,0.01239195093428,0.003647169914587,0.0081899896080045,0.0
7730,0.012331672595089,0.012331672595089,0.0036812409848243,0.0082084628801232,0.0
7740,0.0121884037412217,0.0121884037412217,0.0037945849445939,0.0082012427999684,0.0
7750,0.0119436017035312,0.0119436017035312,0.0038794972980748,0.0082982203022106,0.0
7760,0.0118357725630907,0.0118357725630907,0.0039123990394412,0.0082717953753218,0.0
7770,0.0119378478110574,0.0119378478110574,0.0038809626585498,0.0082866401930927,0.0
7780,0.0118987564863408,0.0118987564863408,0.0038837831003928,0.008291307612302,0.0
7790,0.0113548084187762,0.0113548084187762,0.0039138409860982,0.008218562250533,0.0
7800,0.0100204593768311,0.0100204593768311,0.0037453270559173,0.0081499500937576,0.0
7810,0.0105915172269239,0.0105915172269239,0.0038323269478384,0.0081662124685186,0.0
7820,0.0113524318185885,0.0113524318185885,0.0038496696286104,0.0081680232242453,0.0
7830,0.0108293325420617,0.0108293325420617,0.0038389084128456,0.00816204888425,0.0
7840,0.0093961107442958,0.0093961107442958,0.003631832532536,0.008057293612843,0.0
7850,0.0082548305010384,0.0082548305010384,0.0034721320568132,0.007981332926699,0.0
7860,0.0080341786907291,0.0080341786907291,0.0034565033541847,0.0079275823245403,0.0
7870,0.0059206918224032,0.0059206918224032,0.0031475788170872,0.0077977102415521,0.0
7880,0.0044908786570501,0.0044908786570501,0.0029042179379502,0.0076682161886544,0.0
7890,0.0048420701066036,0.0048420701066036,0.0029691932685105,0.0077093546052536,0.0
7900,0.0076840026544488,0.0076840026544488,0.0033422377320915,0.0078446249031711,0.0
7910,0.0087727897581258,0.0087727897581258,0.0034021464369478,0.0078618235826918,0.0
7920,0.0076668887864488,0.0076668887864488,0.0032510782678974,0.0077515767858446,0.0
7930,0.0052305636980197,0.0052305636980197,0.002960278170888,0.0076060693644527,0.0
7940,0.0044347691141226,0.0044347691141226,0.0026699948650128,0.007587706071314,0.0
7950,0.0049336779768011,0.0049336779768011,0.0026242685147474,0.0076295743172246,0.0
7960,0.0054731547653788,0.0054731547653788,0.0026307079333767,0.0076456644998446,0.0
7970,0.0090391980160748,0.0090391980160748,0.0024371271009342,0.0077378285893283,0.0
7980,0.0133930414861178,0.0133930414861178,0.0023836794468448,0.0077597265268579,0.0
7990,0.0137874297815692,0.0137874297815692,0.0023753438873463,0.0077620277351728,0.0
8000,0.0125558148172563,0.0125558148172563,0.0024097097904431,0.007718712618759,0.0
8010,0.0144770240143476,0.0144770240143476,0.0024224227242137,0.0075717137760031,0.0
8020,0.0160612345056019,0.0160612345056019,0.0025496349257203,0.0071259285052386,0.0
8030,0.0101979753323501,0.0101979753323501,0.0030416133917461,0.0071480714822208,0.0
8040,0.0054053840645681,0.0054053840645681,0.0031752067263458,0.0072537407263654,0.0
8050,0.003406688752248,0.003406688752248,0.0031100951975848,0.0071591186295866,0.0
8060,0.0028915157045868,0.0028915157045868,0.0030785232058037,0.007023148521323,1.0
8070,0.0030460492159155,0.0030460492159155,0.0030954621472427,0.0070086974585862,1.0
8080,0.0035633977727006,0.0035633977727006,0.0031304849132545,0.007224842075249,0.0
8090,0.0047031119228936,0.0047031119228936,0.0031676747927673,0.0073371809948095,0.0
8100,0.0060357661915463,0.0060357661915463,0.0031350267564736,0.0072536077589172,0.0
8110,0.0062427635683542,0.0062427635683542,0.0031316319772417,0.0072942188448286,0.0
8120,0.005160714617728,0.005160714617728,0.0031629103116784,0.0073857499464522,0.0
8130,0.0048200560933682,0.0048200560933682,0.0031712493972377,0.0074204065095996,0.0
8140,0.0057287427281909,0.0057287427281909,0.0031241868854572,0.0074188603244999,0.0
8150,0.0069127636785904,0.0069127636785904,0.0030552669068155,0.0073517079730248,0.0
8160,0.006279040594928,0.006279040594928,0.0030587652716908,0.0073372332075007,0.0
8170,0.0028872765400391,0.0028872765400391,0.0030406866145668,0.0071600222462888,1.0
8180,0.0008822729367654,0.0008822729367654,0.0027755694377803,0.0064231142337697,1.0
8190,0.000979349252188,0.000979349252188,0.0028772176709559,0.0065654648191531,1.0
8200,0.001187829622203,0.001187829622203,0.0029865077473464,0.0068660111886347,1.0
8210,0.0013396131009092,0.0013396131009092,0.0030402152708779,0.0069892435639538,1.0
8220,0.0015713190937729,0.0015713190937729,0.0029803306949425,0.0070093684194236,1.0
8230,0.0017507207131761,0.0017507207131761,0.0029136035952923,0.0068552676027039,1.0
8240,0.0015901864260515,0.0015901864260515,0.0029688500551006,0.0070064770740332,1.0
8250,0.0014759887687365,0.0014759887687365,0.0029985454109367,0.0070692561578699,1.0
8260,0.0013568013636304,0.0013568013636304,0.0030417079608952,0.0070380009952882,1.0
8270,0.0010723116764075,0.0010723116764075,0.0028956203597768,0.0067175832536883,1.0
8280,0.001109308715275,0.001109308715275,0.0029171218593733,0.0067364169474669,1.0
8290,0.0013089720305948,0.0013089720305948,0.0029703477913216,0.0069562451608249,1.0
8300,0.0013107107966923,0.0013107107966923,0.0029414461417344,0.0069373783563712,1.0
8310,0.0013777088020099,0.0013777088020099,0.0029060719864736,0.0069152161881829,1.0
8320,0.0015429489160815,0.0015429489160815,0.0028901263324741,0.0069575801212841,1.0
8330,0.0018716610087728,0.0018716610087728,0.0027313194364166,0.0068567416287522,1.0
8340,0.0020923659168094,0.0020923659168094,0.0025412487510108,0.0066954270919066,1.0
8350,0.0027232933994094,0.0027232933994094,0.0021156157153609,0.0065577196172124,0.0
8360,0.0027528828917536,0.0027528828917536,0.002087449749009,0.0065457826012898,0.0
8370,0.0035021553337497,0.0035021553337497,0.0018156539567664,0.0064916521272288,0.0
8380,0.0047573480540197,0.0047573480540197,0.0015925239903688,0.0066220804135333,0.0
8390,0.0062967680492739,0.0062967680492739,0.0014293685788197,0.0066818086515134,0.0
8400,0.0066927865396594,0.0066927865396594,0.0014710548526866,0.0066344795429174,0.0
8410,0.007241270751509,0.007241270751509,0.0016899188496155,0.0064106563889449,0.0
8420,0.0068397483819412,0.0068397483819412,0.002069181205581,0.0063630246682734,0.0
8430,0.0058991831449966,0.0058991831449966,0.0023348384519514,0.0065509333450292,0.0
