CalBP,Demo_Z,Env_Z
7700,2.184030377470228,0.8459222025291124
7710,2.148453992099513,0.9050938258190494
7720,2.1434598146045865,0.9635486835060103
7730,2.126632319997432,1.0212867755899877
7740,2.086636926989238,1.0783081020709853
7750,2.0182972045558683,1.1346126629488813
7760,1.9881952756771182,1.1966883006668039
7770,2.0166909294681252,1.2545565534191316
7780,2.005778069812673,1.3160817596832706
7790,1.8539277816932167,1.3753523175172317
7800,1.4814266210981002,1.421146691528602
7810,1.640844963105852,1.4564357715099827
7820,1.8532643223580954,1.4856962790753065
7830,1.7072342496503907,1.5009068977222668
7840,1.3071314532488005,1.4895238696421138
7850,0.9885279980704293,1.4436895415287156
7860,0.926930130613041,1.3640298054799351
7870,0.33692235408231275,1.2748580928920938
7880,-0.06222887755631278,1.1916757890776082
7890,0.03581085450589388,1.1192419580096318
7900,0.8291738645787329,1.0666576730500825
7910,1.1331231664566477,1.0435612714049303
7920,0.8243963022679159,1.0439859260015754
7930,0.14426397219638223,1.0611165943608893
7940,-0.07789259762050815,1.0779675138184481
7950,0.06138440152809775,1.0675426036614832
7960,0.21198647305683618,1.019808006425613
7970,1.207494550673678,0.928481240669063
7980,2.4229274656449724,0.8003351466682247
7990,2.533026167830589,0.6481546144399523
8000,2.1892045820301442,0.48249016435817693
8010,2.7255355068227334,0.31754096397452275
8020,3.1677887914348015,0.171647856891264
8030,1.5309825449054029,0.05394386821911735
8040,0.19306738673626545,-0.04840161683393447
8050,-0.36489481064348733,-0.14641563770453098
8060,-0.5087121718650918,-0.22191455828669063
8070,-0.46557210093067747,-0.28634602710986196
8080,-0.32114741760064136,-0.3487482197925836
8090,-0.002981157987860966,-0.40173806367902803
8100,0.3690468842562696,-0.4461072965898907
8110,0.42683293623910573,-0.5074112124330237
8120,0.12476467879018951,-0.5990469029066539
8130,0.029665351926157314,-0.7349604734450205
8140,0.2833372289601524,-0.9213147744869089
8150,0.6138723171030738,-1.1542683447637152
8160,0.43696014739367883,-1.398923903344381
8170,-0.5098955906440868,-1.659537376187876
8180,-1.0696188307703178,-1.9079899978556272
8190,-1.0425186950303442,-2.106284984893428
8200,-0.9843186459047557,-2.2380405972245034
8210,-0.9419462829023397,-2.316419850710541
8220,-0.8772624943692019,-2.3444575525515723
8230,-0.8271801625807215,-2.331854751713356
8240,-0.8719954293433468,-2.2920674016769906
8250,-0.9038752138299243,-2.24697646230032
8260,-0.9371479523224133,-2.195937672531064
8270,-1.0165670063604737,-2.1521430609997347
8280,-1.0062387942634072,-2.1086038945542303
8290,-0.9505001424212498,-2.0670807859069606
8300,-0.9500147428976154,-2.0279271611252665
8310,-0.9313113647305477,-1.9970361445696336
8320,-0.885182404215977,-1.9673128855587587
8330,-0.7934180815536939,-1.9316633014918045
8340,-0.7318053911643568,-1.8780764044830918
8350,-0.5556736504188761,-1.7975259332767253
8360,-0.547413352780735,-1.6818847548561375
8370,-0.33824405339065255,-1.5295675747532567
8380,0.012159574425908959,-1.3438155859314296
8390,0.44190900043787107,-1.1357134133390263
8400,0.5524627930727324,-0.9191190342698183
8410,0.7055794057876834,-0.7168645861119474
8420,0.5934891325778491,-0.535060453799459
8430,0.330917922674212,-0.38837791177552816
8440,0.3419906650586951,-0.2804276477163916
8450,0.2731225428475645,-0.21387812468051914
8460,0.14874722226757675,-0.187602596236235
8470,0.13861460033458417,-0.19208464500935418
8480,0.14829326821202668,-0.21695390957885935
8490,0.1380365833885491,-0.24886262000333975
8500,0.1740874393557575,-0.2745661902031502
8510,0.24254034081103273,-0.28817134315537674
8520,0.14159968243788115,-0.2830382585183525
8530,0.1417487430405806,-0.26271465690709245
8540,0.09950499403527302,-0.22863063462991987
8550,0.15517518521568568,-0.18437212267217776
8560,0.14994088964786312,-0.13356077943223568
8570,0.153029899664214,-0.08377471351603817
8580,0.1538270171730191,-0.043838620805281475
8590,0.15150205943460712,-0.01586583302408948
8600,-0.052965148044306326,-0.00022126500815270196
8610,-0.20223535197129766,0.008671757323502368
8620,-0.11608537541449936,0.011558682486792808
8630,-0.0848408733001481,0.005524327110244864
8640,-0.28613546444643717,-0.0013967335484539704
8650,-0.38957524229554125,-0.0032476691372872834
8660,-0.3801157779443838,0.009191599261461304
8670,-0.38431254774766305,0.0358526384536746
8680,-0.3515460147394737,0.07490618546979122
8690,-0.3653923586742389,0.12433287132178965
8700,-0.38865764791969193,0.18079302138114398
8710,-0.3853582966343933,0.2408926021781104
8720,-0.38705947057498774,0.2954137546703734
8730,-0.3443183477129307,0.33522459456624615
8740,-0.365230548513778,0.36219222183644445
8750,-0.3715792734585125,0.37486938966939276
8760,-0.3867557692571041,0.37368561439902614
8770,-0.35822684281272277,0.36318946027208565
8780,-0.20089860576227372,0.3425548320882196
8790,-0.08831402690205822,0.3217886277106441
8800,-0.1083666788525859,0.3083680499708473
8810,-0.09346997364437422,0.31072426357323196
8820,-0.024920238800644166,0.3386201270960983
8830,-0.24907144915231533,0.39189453658196155
8840,-0.47848349351826874,0.46612389922008046
8850,-0.5228074460403663,0.5510052633383408
8860,-0.39314603736041315,0.6335712862519425
8870,-0.12936252500445586,0.7050948816929312
8880,-0.29535585587024166,0.7574977272130727
8890,-0.4620528441667499,0.7894633784525695
8900,-0.18334536659862,0.7946096875853897
8910,-0.1770161967923307,0.7767248314354254
8920,-0.5019385955087845,0.7421867563782243
8930,-0.5473592713458075,0.6965811729525895
8940,-0.47192834962966435,0.649105439127406
8950,-0.4462655311987137,0.605307547905477
