CalBP,Z_GISP2_Temp_C,Z_PANGAEA_pollen_AP [%],Z_PANGAEA_pollen_AP-Pinus [%],Z_PANGAEA_pollen_Algae [%],Z_PANGAEA_pollen_Helophyte [%],Z_PANGAEA_pollen_Herbs [%],Z_PANGAEA_pollen_NAP [%],Z_PANGAEA_pollen_Poaceae+Cyperaceae [,Z_PANGAEA_pollen_Pollen aquat [%],Z_PANGAEA_pollen_Pollen mediterr [%],Z_PANGAEA_pollen_Pollen montane [%],Z_PANGAEA_pollen_Pollen pioneer [%],Z_PANGAEA_pollen_Pollen steppic [%],Z_PANGAEA_pollen_Pollen te [%],Z_PANGAEA_pollen_Shrubs [%],Z_PANGAEA_pollen_Spores [%],CCSI
7700,1.235732163112318,0.8724022146598539,0.8886858815184002,1.3670461598789119,-0.5957855351457553,-1.1613159789401324,-0.8724022146598582,-1.0694586444590206,1.709504764034075,0.4987463697019249,-1.0074473781426847,-1.638166791505037,-0.3598869472503261,0.8951749613964565,-0.5897414759422496,-0.5665726180436695,1.0380184361214821
7710,1.2587212465675894,0.8580102802957004,0.8610688071059533,1.5322069370465268,-0.5831416290640833,-1.172609444706633,-0.8580102802957015,-1.0944110540098504,1.9322025559859743,0.30446862285532256,-0.9968850722298593,-1.6539368118068376,-0.32109529057457725,0.997683164579077,-0.5897347540280287,-0.5652618296901151,1.029394933126782
7720,1.2841190314080908,0.8462304833050319,0.8374703322610997,1.7187428435444285,-0.5769624515117605,-1.1858781712925703,-0.8462304833050341,-1.1225923362574879,2.1561225761093623,0.10756406347073905,-0.9878504704789154,-1.6645526815483782,-0.27847813533246624,1.1059823011105943,-0.5897189100889544,-0.5648427675754905,1.0256919784902854
7730,1.311803225244469,0.8385477933611033,0.8198523706670937,1.925750285407923,-0.5784872684083744,-1.2010084092078626,-0.8385477933611061,-1.1536735908151101,2.3712223782523143,-0.08629620920425536,-0.9804601106767256,-1.6680151296178067,-0.23448015587889212,1.218147345412946,-0.5896824267854187,-0.5655186847969628,1.0269095722119923
7740,1.3414565368363858,0.8364991060583978,0.8100477095995113,2.1505747583495634,-0.5884172067993967,-1.217636007295558,-0.8364991060583988,-1.1868371805349962,2.5651079081514143,-0.2705122550852475,-0.9744830267073464,-1.6622789439904795,-0.1926658807981757,1.3314364059486439,-0.5896005906026236,-0.5674371622462725,1.033047714291903
7750,1.3725138604431921,0.8414446343701742,0.8094145959170608,2.388441212807985,-0.6066525103249943,-1.2350960100373745,-0.8414446343701735,-1.2206033199058381,2.723776476254389,-0.4379741579020645,-0.969242672711801,-1.6453988842312193,-0.15752869863417449,1.442207036689714,-0.5894222794881954,-0.5706511885687331,1.0441064047300213
7760,1.4041226146692716,0.8542872735740389,0.8184660457113736,2.6322209781833332,-0.6321185802894668,-1.2524142239538432,-0.854287273574039,-1.2526737702217248,2.832869669989948,-0.5816212810691949,-0.9635957930899806,-1.6156264379491252,-0.13400211857360123,1.5459058231947433,-0.5890459356315537,-0.57508576774288,1.0621405053079285
7770,1.435132018793097,0.8751965772172968,0.8365687578450085,2.8723850453541435,-0.6627584644379373,-1.2683584781200272,-0.8751965772172982,-1.2798373323025583,2.8793082851069327,-0.6950515526403672,-0.9560324434627362,-1.5713986964917377,-0.12669535847804136,1.6371712937960285,-0.5882785749063144,-0.580519668036465,1.0855893685551934
7780,1.4641272001469305,0.9034108978425861,0.8618162636770873,3.0971741151855166,-0.6957384615581667,-1.2815526994235404,-0.903410897842591,-1.297995412774165,2.8530628318316933,-0.7730809361336125,-0.9449165087941436,-1.5111984687168205,-0.1389770726089234,1.7100945858299637,-0.5867709341716709,-0.5865898144120125,1.1127749401189515
7790,1.489518211171303,0.9371849726236188,0.8911534977320344,3.2930281275736895,-0.7278578037093296,-1.2906363813405073,-0.9371849726236195,-1.3023757695984546,2.7487693917376745,-0.8121913629819495,-0.9288428932888944,-1.4333420975770381,-0.17211553110500843,1.7586806711163907,-0.5839239667462351,-0.5928211530493658,1.1411629252542943
