,LabID,Age,Error,Material,Taxa,d13C,Method,Long,Lat,LocAccuracy,Period,SiteID,SiteName,Country,Province,Continent,Source,Reference,removal_reason
903,OXAV-227130,3629,29,bone,,,,-3.6562,51.4809,2,,,Merthyr Mawr,United Kingdom,,Europe,Bevan2017,,Unknown lab ID
904,OXAV-227131,3244,29,bone,,,,-1.9772,50.9434,2,,,Cranborne,United Kingdom,,Europe,Bevan2017,,Unknown lab ID
905,OXAV-227132,3838,28,bone,,,,-2.4038,51.0587,2,,,Windmill Quarry,United Kingdom,,Europe,Bevan2017,,Unknown lab ID
906,OXAV-227133,3921,30,bone,,,,-3.7026,51.218,2,,,Culbone Hill Culbone,United Kingdom,,Europe,Bevan2017,,Unknown lab ID
907,OXAV-227134,3834,29,bone,,,,-1.9029,51.4042,2,,,Hemp Knoll Avebury,United Kingdom,,Europe,Bevan2017,,Unknown lab ID
908,OXAV-227135,3935,32,bone,,,,-1.4337,51.1543,2,,,Chilbolton,United Kingdom,,Europe,Bevan2017,,Unknown lab ID
909,OXAV-227136,3791,30,bone,,,,-1.2949,51.0708,2,,,Easton Lane,United Kingdom,,Europe,Bevan2017,,Unknown lab ID
910,OXAV-227137,3664,29,bone,,,,1.3895,51.3745,2,,,Queen Elizabeth the Queen Mother Hospital,United Kingdom,,Europe,Bevan2017,,Unknown lab ID
911,OXAV-227138,3806,29,bone,,,,1.4466,51.3734,2,,,Beauforts Broadstairs,United Kingdom,,Europe,Bevan2017,,Unknown lab ID
912,OXAV-2279,3781,31,bone,,,,-0.5083,54.0057,2,,,Garton Slack,United Kingdom,,Europe,Bevan2017,,Unknown lab ID
913,OXAV-227933,3668,32,bone,,,,-0.5083,54.0057,2,,,Garton Slack,United Kingdom,,Europe,Bevan2017,,Unknown lab ID
914,OXAV-227934,3781,31,bone,,,,-0.5083,54.0057,2,,,Garton Slack,United Kingdom,,Europe,Bevan2017,,Unknown lab ID
915,OXAV-227935,3795,33,bone,,,,-0.5083,54.0057,2,,,Garton Slack,United Kingdom,,Europe,Bevan2017,Maroto J.  2012. QI 247: 15-25.,Unknown lab ID
916,OXAV-236028,6897,34,bone,,0,,,,0,,,Cingle Mas Nou,Spain,,Europe,CALPAL,Gibaja 2015,Unknown lab ID
917,OXAV-236029,6925,35,bone,,0,,,,0,,,Cingle Mas Nou,Spain,,Europe,CALPAL,Gibaja 2015,Unknown lab ID
